date_only,sentiment_mean,sentiment_min,sentiment_max,tweet_count
2018-11-15,-0.012050000000000005,-0.9577,0.9336,2
2018-11-16,0.8979,0.8979,0.8979,1
2018-11-17,0.7448,0.4199,0.9146,3
2018-11-18,0.9583,0.9583,0.9583,1
2018-11-19,-0.8313,-0.8313,-0.8313,1
2018-11-20,0.9055,0.9055,0.9055,1
2018-11-21,0.5269,0.5269,0.5269,1
2018-11-22,0.19895000000000002,-0.5423,0.9402,2
2018-11-25,0.57474,0.1511,0.8748,5
2018-11-26,-0.05840000000000001,-0.7407,0.6239,2
2018-11-27,0.39354999999999996,0.3595,0.4276,2
2018-11-28,0.9539,0.9271,0.9813,3
2018-11-29,0.4646,0.4199,0.5093,2
2018-12-01,0.8316,0.8316,0.8316,1
2018-12-03,0.64218,0.2263,0.96,5
2018-12-04,0.6478999999999999,0.0387,0.9508,4
2018-12-05,0.28285000000000005,-0.96,0.8221,8
2018-12-06,-0.3595,-0.3595,-0.3595,1
2018-12-07,0.11859999999999997,-0.7529,0.9419,7
2018-12-08,0.5526333333333333,-0.0258,0.9734,6
2018-12-11,0.43708,-0.205,0.9521,5
2018-12-12,-0.16864999999999997,-0.814,0.4767,2
2018-12-14,0.01663333333333335,-0.4416,0.9331,3
2018-12-16,-0.5030333333333333,-0.9783,0.142,3
2018-12-17,0.6893,0.6893,0.6893,1
2018-12-18,-0.3615,-0.6271,0.0,3
2018-12-19,0.55128,-0.6885,0.9349,5
2018-12-20,0.10155714285714283,-0.9078,0.9039,7
2018-12-21,0.07436666666666665,-0.875,0.8788,6
2018-12-22,0.1635,0.1635,0.1635,1
2018-12-23,0.42425714285714283,-0.1421,0.9477,7
2018-12-24,0.35622,-0.0772,0.8834,5
2018-12-25,0.9553,0.9553,0.9553,1
2018-12-26,0.8875,0.8875,0.8875,1
2018-12-27,0.006950000000000012,-0.7206,0.7345,2
2018-12-28,0.9245,0.9245,0.9245,1
2018-12-29,0.09724999999999995,-0.6114,0.8059,2
2018-12-31,0.06136000000000001,-0.9409,0.8652,5
2019-01-01,0.3984666666666667,0.0,0.7739,3
2019-01-03,0.7177,0.7177,0.7177,1
2019-01-04,0.5158,0.2103,0.8213,2
2019-01-06,-0.6494,-0.8648,-0.434,2
2019-01-08,0.7238000000000001,0.3989,0.9841,3
2019-01-09,0.7872,0.7872,0.7872,1
2019-01-10,0.08274999999999999,-0.7845,0.95,2
2019-01-11,0.8516,0.8516,0.8516,1
2019-01-12,-0.7833,-0.9694,-0.5972,2
2019-01-13,-0.72655,-0.8957,-0.5574,2
2019-01-14,0.329425,0.0,0.8424,4
2019-01-19,0.19105,-0.4767,0.8588,2
2019-01-20,0.2309,-0.5267,0.724,4
2019-01-21,-0.06183333333333332,-0.5255,0.34,3
2019-01-22,0.5207499999999999,0.3818,0.6597,2
2019-01-24,-0.22740000000000005,-0.6327,0.4574,3
2019-01-27,0.3989,0.3989,0.3989,1
2019-01-28,0.8138,0.7412,0.8864,2
2019-01-29,-0.7849,-0.7849,-0.7849,1
2019-01-30,-0.2122,-0.8394,0.9697,4
2019-01-31,0.05063333333333334,-0.6476,0.8029,6
2019-02-01,0.022850000000000037,-0.7404,0.7861,2
2019-02-03,0.1751,0.1751,0.1751,2
2019-02-04,0.7777,0.7777,0.7777,1
2019-02-05,0.23765,0.0,0.4753,2
2019-02-08,0.5987,0.4019,0.7955,2
2019-02-09,0.5532600000000001,-0.1027,0.9678,5
2019-02-10,-0.00623333333333335,-0.8113,0.4003,3
2019-02-11,-0.5267,-0.5267,-0.5267,1
2019-02-12,0.25,0.25,0.25,1
2019-02-13,0.9107,0.9107,0.9107,1
2019-02-15,-0.4767,-0.4767,-0.4767,1
2019-02-17,0.7776000000000001,0.6696,0.8856,2
2019-02-18,-0.1776,-0.1776,-0.1776,1
2019-02-20,-0.7089,-0.7089,-0.7089,1
2019-02-21,0.9453,0.9453,0.9453,1
2019-02-22,-0.4633,-0.4633,-0.4633,1
2019-02-24,0.6766833333333334,0.0,0.9062,6
2019-02-25,0.2641428571428571,-0.534,0.7574,7
2019-02-26,0.807,0.807,0.807,1
2019-02-27,0.375,-0.831,0.9726,4
2019-03-01,0.7939,0.4404,0.9639,4
2019-03-02,0.7184,0.7184,0.7184,1
2019-03-03,0.5377,0.5377,0.5377,1
2019-03-04,-0.251,-0.8806,0.7964,3
2019-03-06,-0.8588,-0.8588,-0.8588,1
2019-03-08,-0.8819,-0.8819,-0.8819,1
2019-03-11,0.4914,0.4914,0.4914,1
2019-03-13,-0.15749999999999997,-0.8521,0.9644,3
2019-03-14,0.2325,-0.5848,0.807,3
2019-03-15,0.38596666666666674,-0.417,0.9653,3
2019-03-16,0.89775,0.8431,0.9524,2
2019-03-17,0.9485,0.9485,0.9485,1
2019-03-18,-0.18070000000000003,-0.9462,0.5848,2
2019-03-20,0.914,0.914,0.914,1
2019-03-22,0.4767,0.4767,0.4767,1
2019-03-27,0.8082,0.7083,0.9081,2
2019-03-28,0.5962,0.5962,0.5962,1
2019-03-29,0.8777,0.8777,0.8777,1
2019-03-30,-0.2481,-0.2481,-0.2481,1
2019-04-02,0.3427,-0.6842,0.891,4
2019-04-04,0.6557,0.6557,0.6557,1
2019-04-05,0.9392,0.9392,0.9392,1
2019-04-09,-0.3237,-0.3237,-0.3237,1
2019-04-11,-0.1779,-0.1779,-0.1779,1
2019-04-13,0.8195,0.7351,0.9039,2
2019-04-17,0.8619,0.8619,0.8619,1
2019-04-19,-0.6369,-0.6369,-0.6369,1
2019-04-21,-0.75895,-0.8985,-0.6194,2
2019-04-22,-0.30746666666666667,-0.9224,0.0,3
2019-04-23,0.32705,-0.9484,0.9231,4
2019-04-24,-0.2882,-0.8459,0.2695,2
2019-04-25,-0.3592,-0.7184,0.0,2
2019-04-26,-0.6239,-0.6239,-0.6239,1
2019-04-29,0.88255,0.8612,0.9039,2
2019-04-30,0.23099999999999998,-0.8225,0.7655,3
2019-05-01,0.020540000000000003,-0.6597,0.6369,5
2019-05-02,0.3818,0.3818,0.3818,1
2019-05-03,0.5645666666666667,0.0,0.9399,3
2019-05-05,0.29684000000000005,-0.34,0.7506,5
2019-05-06,0.12836000000000003,-0.6597,0.923,5
2019-05-08,0.6988,0.4215,0.9152,6
2019-05-09,0.5461,0.5461,0.5461,1
2019-05-10,0.3131611111111111,-0.7861,0.9741,18
2019-05-11,-0.029747058823529408,-0.9022,0.7717,17
2019-05-12,-0.04311428571428571,-0.9771,0.8561,7
2019-05-13,-0.240125,-0.866,0.7424,12
2019-05-14,0.5568083333333333,-0.6239,0.9459,12
2019-05-15,0.5423,0.5423,0.5423,1
2019-05-16,0.937,0.937,0.937,1
2019-05-17,-0.7565,-0.833,-0.68,2
2019-05-18,0.969,0.969,0.969,1
